employee_id,event_id,date,status
E0001,EV014,2026-04-08,rejected
E0001,EV019,2025-12-20,completed
E0001,EV017,2026-07-27,completed
E0001,EV002,2025-11-03,rejected
E0001,EV015,2026-07-17,completed
E0001,EV017,2026-02-17,rejected
E0001,EV019,2024-12-03,rejected
E0001,EV005,2025-12-25,completed
E0001,EV014,2025-02-25,skipped
E0001,EV020,2025-02-02,rejected
E0002,EV014,2026-02-10,completed
E0002,EV017,2025-05-05,completed
E0002,EV023,2026-08-05,completed
E0002,EV007,2024-12-19,completed
E0002,EV023,2024-10-26,rejected
E0002,EV018,2026-07-19,rejected
E0002,EV015,2025-01-20,rejected
E0002,EV017,2026-01-08,completed
E0002,EV019,2026-05-28,skipped
E0002,EV023,2024-12-05,skipped
E0003,EV010,2025-11-26,rejected
E0003,EV011,2025-06-15,completed
E0003,EV020,2025-12-27,completed
E0003,EV017,2026-06-06,skipped
E0003,EV019,2025-04-21,completed
E0003,EV011,2025-09-05,completed
E0003,EV017,2025-03-28,completed
E0003,EV018,2025-10-26,rejected
E0003,EV009,2026-05-31,skipped
E0003,EV013,2026-01-20,completed
E0004,EV014,2025-02-19,completed
E0004,EV003,2025-05-13,completed
E0004,EV005,2026-05-14,rejected
E0004,EV006,2025-12-25,rejected
E0004,EV013,2025-03-19,completed
E0004,EV016,2025-08-10,skipped
E0004,EV021,2025-04-11,rejected
E0004,EV004,2026-01-12,completed
E0004,EV003,2025-10-11,completed
E0004,EV014,2025-01-28,completed
E0005,EV005,2026-07-12,completed
E0005,EV008,2026-07-15,completed
E0005,EV024,2025-10-19,completed
E0005,EV017,2026-01-22,skipped
E0005,EV019,2025-05-13,completed
E0005,EV017,2026-05-10,rejected
E0005,EV008,2025-05-26,rejected
E0005,EV008,2026-06-18,completed
E0005,EV019,2025-07-08,skipped
E0005,EV015,2025-07-29,rejected
E0006,EV020,2026-07-29,completed
E0006,EV009,2025-08-06,skipped
E0006,EV010,2026-01-11,completed
E0006,EV012,2025-03-22,rejected
E0006,EV011,2025-07-17,completed
E0006,EV013,2025-06-06,completed
E0006,EV010,2025-06-26,completed
E0006,EV009,2024-11-24,completed
E0006,EV010,2026-01-23,completed
E0006,EV015,2025-05-13,rejected
E0007,EV013,2025-08-08,completed
E0007,EV006,2025-08-30,completed
E0007,EV019,2025-12-25,rejected
E0007,EV016,2025-07-16,rejected
E0007,EV005,2026-03-12,skipped
E0007,EV013,2026-07-25,completed
E0007,EV017,2026-07-26,completed
E0007,EV022,2025-04-26,completed
E0007,EV002,2025-04-20,completed
E0007,EV006,2026-07-14,completed
E0008,EV019,2026-01-25,rejected
E0008,EV006,2025-02-16,completed
E0008,EV018,2025-01-22,completed
E0008,EV018,2026-07-01,rejected
E0008,EV019,2025-02-02,skipped
E0008,EV013,2026-02-25,skipped
E0008,EV008,2025-12-25,rejected
E0008,EV007,2024-11-04,skipped
E0008,EV016,2025-11-03,completed
E0008,EV005,2025-06-10,completed
E0009,EV010,2025-03-21,completed
E0009,EV017,2025-12-25,completed
E0009,EV014,2026-07-14,completed
E0009,EV014,2025-12-05,completed
E0009,EV016,2025-03-15,skipped
E0009,EV018,2024-11-22,completed
E0009,EV019,2025-03-04,skipped
E0009,EV019,2026-06-08,completed
E0009,EV013,2026-05-27,completed
E0009,EV020,2025-03-05,completed
E0010,EV015,2025-12-08,completed
E0010,EV017,2026-02-26,skipped
E0010,EV022,2026-01-08,completed
E0010,EV003,2024-12-12,rejected
E0010,EV015,2026-08-08,completed
E0010,EV017,2026-05-12,skipped
E0010,EV006,2025-06-27,rejected
E0010,EV001,2026-05-31,completed
E0010,EV005,2025-03-13,completed
E0010,EV018,2025-02-03,completed
E0011,EV015,2026-05-15,completed
E0011,EV013,2025-09-14,completed
E0011,EV014,2026-02-19,completed
E0011,EV019,2026-06-09,skipped
E0011,EV023,2025-02-26,rejected
E0011,EV018,2026-04-17,completed
E0011,EV024,2026-04-09,completed
E0011,EV015,2026-08-28,completed
E0011,EV020,2025-10-17,rejected
E0011,EV023,2024-11-06,completed
E0012,EV013,2026-04-12,completed
E0012,EV015,2026-08-14,rejected
E0012,EV012,2026-03-02,rejected
E0012,EV014,2025-11-14,completed
E0012,EV012,2026-08-29,completed
E0012,EV015,2025-10-21,skipped
E0012,EV010,2025-12-11,skipped
E0012,EV019,2025-04-19,rejected
E0012,EV019,2025-03-22,skipped
E0012,EV009,2026-05-27,skipped
E0001,EV013,2026-09-15,skipped
E0001,EV013,2026-08-24,skipped
E0001,EV013,2026-07-25,skipped
